block_index,offset,size,ascii_count,serial_candidates,zero_count,ff_count,numeric_candidates_count
681,47670,70,0,,31,4,66
682,47740,70,0,,31,4,66
683,47810,70,0,,38,4,66
684,47880,70,0,,53,4,66
685,47950,70,0,,53,4,66
686,48020,70,0,,53,4,66
687,48090,70,0,,53,4,66
688,48160,70,0,,53,4,66
689,48230,70,0,,53,4,66
690,48300,70,0,,53,4,66
691,48370,70,0,,53,4,66
692,48440,70,0,,53,4,66
693,48510,70,0,,53,4,66
694,48580,70,0,,53,4,66
695,48650,70,0,,53,4,66
696,48720,70,0,,53,4,66
697,48790,70,0,,53,4,66
698,48860,70,0,,53,4,66
699,48930,70,0,,53,4,66
700,49000,70,0,,53,4,66
701,49070,70,0,,53,5,66
702,49140,70,0,,54,4,66
703,49210,70,0,,53,4,66
704,49280,70,0,,53,4,66
705,49350,70,0,,54,4,66
706,49420,70,0,,53,4,66
707,49490,70,0,,53,4,66
708,49560,70,0,,53,4,66
709,49630,70,0,,53,4,66
710,49700,70,0,,53,4,66
711,49770,70,0,,53,4,66
712,49840,70,0,,53,4,66
713,49910,70,0,,53,4,66
714,49980,70,0,,53,4,66
715,50050,70,0,,53,4,66
716,50120,70,0,,53,4,66
717,50190,70,0,,54,4,66
718,50260,70,0,,53,4,66
719,50330,70,0,,53,4,66
720,50400,70,0,,53,4,66
721,50470,70,0,,53,4,66
722,50540,70,0,,53,4,66
723,50610,70,0,,53,4,66
724,50680,70,0,,53,4,66
725,50750,70,0,,53,4,66
726,50820,70,0,,53,4,66
727,50890,70,0,,53,4,66
728,50960,70,0,,53,4,66
729,51030,70,0,,53,4,66
730,51100,70,0,,53,4,66
731,51170,70,0,,53,4,66
732,51240,70,0,,53,4,66
733,51310,70,0,,53,4,66
734,51380,70,0,,53,4,66
735,51450,70,0,,53,4,66
736,51520,70,0,,53,4,66
737,51590,70,0,,53,4,66
738,51660,70,0,,53,4,66
739,51730,70,0,,46,4,66
740,51800,70,0,,31,4,66
741,51870,70,0,,31,4,66
742,51940,70,0,,28,4,66
743,52010,70,0,,25,4,66
744,52080,70,0,,21,4,66
745,52150,70,0,,21,4,66
746,52220,70,0,,19,4,66
747,52290,70,0,,19,4,66
748,52360,70,0,,19,4,66
749,52430,70,0,,19,4,66
750,52500,70,0,,19,4,66
751,52570,70,0,,19,4,66
752,52640,70,0,,19,4,66
753,52710,70,0,,19,5,66
754,52780,70,0,,20,4,66
755,52850,70,0,,19,4,66
756,52920,70,0,,19,4,66
757,52990,70,0,,20,4,66
758,53060,70,0,,19,4,66
759,53130,70,0,,19,5,66
760,53200,70,0,,19,4,66
761,53270,70,0,,20,4,66
762,53340,70,0,,19,4,66
763,53410,70,0,,16,4,66
764,53480,70,0,,16,4,66
765,53550,70,0,,16,4,66
766,53620,70,0,,16,4,66
767,53690,70,0,,16,4,66
768,53760,70,0,,16,4,66
769,53830,70,0,,16,4,66
770,53900,70,0,,16,4,66
771,53970,70,0,,16,4,66
772,54040,70,0,,16,4,66
773,54110,70,0,,16,4,66
774,54180,70,0,,16,4,66
775,54250,70,0,,16,4,66
776,54320,70,0,,16,4,66
777,54390,70,0,,16,4,66
778,54460,70,0,,16,5,66
779,54530,70,0,,16,4,66
780,54600,70,0,,16,5,66
781,54670,70,0,,16,4,66
782,54740,70,0,,16,4,66
783,54810,70,0,,16,4,66
784,54880,70,0,,16,4,66
785,54950,70,0,,16,4,66
786,55020,70,0,,16,4,66
787,55090,70,0,,16,4,66
788,55160,70,0,,16,4,66
789,55230,70,0,,16,4,66
790,55300,70,0,,16,4,66
791,55370,70,0,,16,4,66
792,55440,70,0,,16,4,66
793,55510,70,0,,16,4,66
794,55580,70,0,,16,4,66
795,55650,70,0,,17,4,66
796,55720,70,0,,16,4,66
797,55790,70,0,,16,4,66
798,55860,70,0,,16,4,66
799,55930,70,0,,16,4,66
800,56000,70,0,,16,4,66
801,56070,70,0,,16,4,66
802,56140,70,0,,16,4,66
803,56210,70,0,,16,4,66
804,56280,70,0,,16,4,66
805,56350,70,0,,16,4,66
806,56420,70,0,,16,4,66
807,56490,70,0,,16,4,66
808,56560,70,0,,17,4,66
809,56630,70,0,,16,4,66
810,56700,70,0,,16,4,66
811,56770,70,0,,16,4,66
812,56840,70,0,,16,4,66
813,56910,70,0,,16,4,66
814,56980,70,0,,16,4,66
815,57050,70,0,,16,4,66
816,57120,70,0,,29,4,66
817,57190,70,0,,53,4,66
818,57260,70,0,,40,4,66
819,57330,70,0,,19,4,66
820,57400,70,0,,29,4,66
821,57470,70,0,,40,18,55
822,57540,70,0,,0,70,0
823,57610,70,0,,0,70,0
824,57680,70,0,,0,70,0
825,57750,70,0,,0,70,0
826,57820,70,0,,0,70,0
827,57890,70,0,,0,70,0
828,57960,70,0,,0,70,0
829,58030,70,0,,0,70,0
830,58100,70,0,,0,70,0
831,58170,70,0,,0,70,0
832,58240,70,0,,0,70,0
833,58310,70,0,,0,70,0
834,58380,70,0,,0,70,0
835,58450,70,0,,0,70,0
836,58520,70,0,,0,70,0
837,58590,70,0,,0,70,0
838,58660,70,0,,0,70,0
839,58730,70,0,,0,70,0
840,58800,70,0,,0,70,0
841,58870,70,0,,0,70,0
842,58940,70,0,,0,70,0
843,59010,70,0,,0,70,0
844,59080,70,0,,0,70,0
845,59150,70,0,,0,70,0
846,59220,70,0,,0,70,0
847,59290,70,0,,0,70,0
848,59360,70,0,,0,70,0
